,source_collider_name,target_collider_name,ColliderBoundsCenter.x,ColliderBoundsCenter.y,ColliderBoundsCenter.z,transformed_collidercenter_x,transformed_collidercenter_y
0,Building_100,Building_100,27.202402114868164,4.637518405914307,66.57487487792969,2160.8522452542643,2321.450564588351
1,Building_101,Building_101,29.17999267578125,9.017884254455566,109.73999786376952,2168.81029558556,2499.573289242928
2,Building_102,Building_102,10.69999885559082,9.02268123626709,135.19999694824222,2092.4518989586886,2604.8532458121836
3,Building_103,Building_103,44.7674560546875,6.79039478302002,161.12020874023438,2232.8770850835776,2711.561030543009
4,Building_104,Building_104,148.5027313232422,5.2815656661987305,50.124671936035156,2660.6485244107557,2252.76962460452
5,Building_105,Building_105,137.68792724609378,7.259279251098633,33.32058334350586,2616.168136920541,2183.582942580469
6,Building_106,Building_106,127.52989196777344,5.778831481933594,24.599010467529297,2574.372539076278,2147.701428397483
7,Building_107,Building_107,121.65188598632812,4.01520586013794,19.826684951782227,2550.1854682502544,2128.068523560595
8,Building_108,Building_108,96.24544525146484,8.327917098999022,7.574158668518066,2445.605841438989,2077.715322130166
9,Building_109,Building_109,79.58999633789062,5.419436454772949,-6.719999313354492,2377.055393562748,2018.891525115278
10,Building_110,Building_110,137.79450988769528,10.273689270019533,-6.6610355377197275,2616.6950635524554,2018.8446927731316
11,Building_111,Building_111,115.18063354492188,4.248273849487306,-17.338024139404293,2523.642250219051,1974.968895212346
12,Building_112,Building_112,122.61356353759766,4.277027606964111,-25.33293151855469,2554.25908482775,1942.0009161160483
13,Building_113,Building_113,162.10000610351562,2.582098960876465,-28.79999923706055,2716.7422559927395,1927.5498663019775
14,Building_114,Building_114,133.70774841308594,4.242033958435059,-34.51317977905273,2599.939606906013,1904.142315404435
15,Building_115,Building_combined_115_116,181.19700622558594,2.8868404626846313,-47.746999740600586,2795.310637919968,1849.466877351947
16,Building_116,Building_combined_115_116,181.19700622558594,2.8868404626846313,-47.746999740600586,2795.310637919968,1849.466877351947
17,Building_117,Building_117,162.06591796875,6.1245670318603525,-62.54539108276367,2716.6587432890515,1788.6186297273498
18,Building_118,Building_118,150.82839965820312,5.28948974609375,-71.11260223388672,2670.4541011935494,1753.388824356242
19,Building_119,Building_119,178.46682739257812,2.83766508102417,-70.6659927368164,2784.114505980821,1755.1432585942216
20,Building_120,Building_120,172.78074645996094,1.6393251419067385,-75.24404907226562,2760.7412672651776,1736.319327969646
21,Building_121,Building_121,167.8104705810547,1.686811447143555,-80.77600860595703,2740.3121214531343,1713.5670797412722
22,Building_122,Building_122,121.27025604248048,5.900312423706055,-75.8892822265625,2548.859536891872,1733.8122593940188
23,Building_123,Building_123,80.66999816894531,-0.4421238899230957,-124.7699966430664,2381.909823897775,1532.6799694916845
24,Building_124,Building_124,9.010000228881836,-0.18946075439453125,-150.55999755859375,2086.9055947303336,1426.584833935326
25,Building_125,Building_125,178.17999267578125,1.3929910659790041,-126.12000274658205,2783.00901658182,1526.990575313057
26,Building_126,Building_126,147.27513122558594,3.9286832809448238,-150.3643035888672,2655.99658029471,1427.3036921235775
27,Building_127,Building_127,140.87887573242188,3.893073081970215,-155.19805908203125,2629.705760964132,1407.426153000887
28,Building_128,Building_128,134.87091064453122,1.5423190593719482,-160.48095703125,2605.0115945473776,1385.7003339464923
29,Building_129,Building_129,179.5813446044922,-2.6200098991394043,-158.41506958007812,2788.811125997119,1394.1800707653406
30,Building_130,Building_130,190.1479949951172,-0.7394824028015137,-185.91249084472656,2832.2624075069307,1281.1412164865296
31,Building_131,Building_131,90.71190643310548,4.771505355834961,-156.75868225097656,2423.3457251237223,1401.0292172122727
32,Building_132,Building_132,76.27300262451172,1.1725621223449707,-163.11209106445312,2363.945077378096,1374.89305800189
33,Building_133,Building_133,58.28839111328125,1.172565460205078,-170.80441284179688,2289.9446706899207,1343.243894365377
34,Building_134,Building_134,104.45206451416016,1.0371165275573728,-206.9146423339844,2480.0279286089017,1194.736142094404
35,Building_135,Building_135,115.2725601196289,4.336860656738281,-211.79962158203125,2524.5436569237745,1174.6637394375502
36,Building_136,Building_136,145.62367248535156,0.4645748138427734,-313.5533142089844,2649.5376122296097,756.6778478493293
37,Building_137,Building_137,-22.310470581054688,1.8142752647399905,-153.60475158691406,1957.8487619278728,1414.0659462550984
38,Building_138,Building_138,-38.3696517944336,1.931509017944336,-167.06817626953125,1891.7265812575022,1358.6298939416556
39,Building_139,Building_139,-68.97200012207031,4.2055749893188485,-137.1458740234375,1765.335815713178,1481.896984573933
40,Building_140,Building_140,-65.2496337890625,3.0502817630767822,-111.2867202758789,1780.5200753845247,1588.4468417059707
41,Building_141,Building_141,-30.39999771118164,4.391777992248535,-82.76000213623047,1924.0881401067722,1705.9325400780576
42,Building_142,Building_142,-28.920000076293945,1.3520984649658203,-122.44000244140624,1930.4221682706677,1542.4321250440507
43,Building_143,Building_143,-2.813784599304199,2.9178779125213623,-90.6837387084961,2037.8718379615163,1673.2107234867021
44,Building_144,Building_144,-2.374078750610352,4.272003173828125,-56.25143432617188,2039.5040258907284,1815.0993152878777
45,Building_145,Building_145,13.617242813110352,4.364901542663573,-44.69503021240234,2105.3697571227526,1862.671506519664
46,Building_146,Building_146,12.330000877380373,5.710975646972656,4.199998378753662,2099.8228811665304,2064.2553593486264
47,Building_147,Building_147,-10.472625732421877,4.151418209075929,-10.492671966552734,2005.8650403154227,2003.7822650139356
48,Building_148,Building_148,5.345975875854492,4.824234962463379,21.70568084716797,2070.9354645424537,2136.4918383679806
49,Building_149,Building_149,-13.739566802978516,6.0797462463378915,26.662128448486328,1992.1867887728365,2157.0508385693947
50,Building_150,Building_150,-31.220001220703125,4.338981628417969,4.139999866485597,1920.196736956109,2064.2394728480886
51,Building_151,Building_151,-38.47553253173828,4.9075188636779785,16.264108657836914,1890.1863010494167,2114.2966838191915
52,Building_152,Building_152,-50.97449493408203,4.960152626037598,-40.93037033081055,1838.9630776737708,1878.4432069688792
53,Building_153,Building_153,-76.8909683227539,3.6935088634490967,-70.38645935058594,1732.2094862356107,1757.0727128655976
54,Building_154,Building_154,-110.82723999023438,6.640796661376952,-91.5829849243164,1592.2776962091611,1669.7663066591354
55,Building_155,Building_155,-115.60401916503906,9.240981101989746,-35.41337203979492,1572.122815650679,1901.4606292001313
56,Building_156,Building_156,-125.23141479492188,10.076058387756348,-45.75707244873047,1532.4387848219467,1858.8223468471801
57,Building_157,Building_157,-20.11000061035156,8.395151138305664,74.70999908447266,1965.6347896460072,2355.3705052324285
58,Building_158,Building_158,-27.739999771118164,5.871673583984375,105.54000091552734,1933.9669281187316,2482.7150077057986
59,Building_159,Building_159,-45.405540466308594,3.973102569580078,129.56098937988278,1860.8870170408254,2582.0802485035383
60,Building_160,Building_160,-68.42803955078125,4.5190935134887695,122.94426727294922,1765.8433874578807,2554.9536702141377
61,Building_161,Building_161,-56.61457061767578,11.379944801330565,104.1934814453125,1814.758394523974,2477.3962952716183
62,Building_162,Building_162,-45.982460021972656,10.830215454101562,82.10479736328125,1858.7986184552797,2386.094831213704
63,Building_163,Building_163,-107.4800033569336,5.933856010437013,88.94000244140625,1604.7384220900237,2414.803760950389
64,Building_164,Building_164,-100.92396545410156,7.8561344146728525,54.49261474609375,1632.0838709174552,2272.480044666683
65,Building_165,Building_165,-109.45008087158205,7.195075035095215,56.40354537963867,1596.843593781327,2280.4300297268474
66,Building_166,Building_166,-92.34432220458984,10.470218658447266,27.73042106628418,1667.7190409494567,2161.932685455761
67,Building_167,Building_167,-114.7021484375,5.382205009460449,12.18446159362793,1575.4820285140497,2097.889493896061
68,Building_168,Building_168,-121.5637435913086,5.427870750427246,6.17769193649292,1547.1811889577048,2073.13156241707
69,Building_169,Building_169,-134.37699890136722,9.026198387145996,23.31242179870605,1494.099680598258,2143.9441694060706
70,Building_170,Building_170,-135.84562683105472,5.168715953826903,70.78618621826172,1487.643528001832,2340.0248894132756
71,Building_171,Building_171,-157.22000122070312,11.872751235961914,46.88000106811523,1399.4794267967116,2241.4190859378778
72,Building_172,Building_172,-169.58494567871094,7.3830299377441415,23.406658172607425,1348.5601310288025,2144.5415116965605
73,Building_173,Building_173,-140.0968017578125,8.365323066711426,-10.051313400268556,1470.7357493565387,2006.236208927553
74,Building_174,Building_174,-162.90911102294922,6.820459365844727,-9.410902976989746,1376.4483837651626,2008.9918031143584
75,Building_175,Building_175,-179.75990295410156,8.109997749328612,-32.789844512939446,1306.9973623271705,1912.5548971500234
76,Building_176,Building_176,-61.46739196777344,6.519174575805664,166.6895751953125,1794.3088806464223,2735.651196254851
77,Building_177,Building_177,-152.21739196777344,6.088184833526611,181.7057037353516,1419.0145804591286,2798.692903266264
78,Building_178,Building_178,-156.25999450683594,8.890975952148438,126.27999877929688,1402.7659983300343,2569.5295873298455
79,Building_179,Building_179,-203.0485076904297,3.997824430465698,181.1629180908203,1208.6444674716192,2796.9932398843384
80,Building_180,Building_180,-203.49151611328125,10.251119613647461,137.8719482421875,1207.2274186120817,2617.9001642176427
81,Building_181,Building_181,-191.27410888671875,8.130260467529299,128.36837768554688,1257.8837797848448,2578.482697757763
82,Building_182,Building_182,-187.5364990234375,7.450413703918457,122.50381469726562,1273.4054408868785,2554.198056602847
83,Building_183,Building_183,-179.55237579345703,11.397711753845215,113.78693389892578,1306.5214028784073,2518.0863946218496
84,Building_184,Building_184,-233.69000244140625,7.119999885559082,177.1699981689453,1081.7933815089734,2780.796196444874
85,Building_185,Building_185,-273.33999633789057,9.057090759277344,172.3300018310547,917.5675890702473,2761.1804045696417
86,Building_186,Building_186,-263.51406860351557,7.518256187438965,118.37108612060548,958.877498254703,2537.7798345697593
87,Building_187,Building_187,-305.8082580566406,7.219430446624756,88.78561401367188,783.9671615479549,2415.735539371536
88,Building_188,Building_188,-312.9839782714844,6.780592918395996,146.93942260742188,753.5262325237986,2656.4680481157584
89,Building_189,Building_189,-330.0277099609375,6.273813724517822,123.08444213867188,683.1460758729368,2557.8768675345464
90,Building_190,Building_190,-333.1468505859375,2.534006357192993,182.2267608642578,669.4736789218907,2802.7978359766366
91,Building_192,Building_192,-394.48732503255206,5.390524705251058,147.19212341308594,415.38789152859425,2658.3063620295006
92,Building_193,Building_193,-408.5886637369792,3.859370390574137,129.9615046183268,357.08751027067973,2587.0667539249457
93,Building_194,Building_194,-361.9198913574219,8.654507637023926,98.45648193359376,551.1887896354352,2456.2085975826685
94,Building_195,Building_195,-381.419677734375,6.84745454788208,91.58637237548828,470.3818538065846,2427.9288543656157
95,Building_196,Building_196,-372.3200073242188,3.2039871215820312,65.01000213623047,508.4898326176517,2317.8643914280565
96,Building_197,Building_197,-403.9898376464844,6.26737117767334,71.26840209960938,377.0029459788477,2343.997552798667
