Var1,source_collider_name,target_collider_name,ColliderBoundsCenter_x,ColliderBoundsCenter_y,ColliderBoundsCenter_z,transformed_collidercenter_x,transformed_collidercenter_y
15,Building_115,Building_combined_115_116,181.197006225586,2.88684046268463,-47.7469997406006,2795.31063791997,1849.46687735195
16,Building_116,Building_combined_115_116,181.197006225586,2.88684046268463,-47.7469997406006,2795.31063791997,1849.46687735195
183,Garage_26,TaskBuilding_26,86.7345199584961,5.82637310028076,43.9208908081055,2406.31423652331,2227.6032909577
184,Garage_46,TaskBuilding_46,-196.595352172852,11.2352418899536,93.0315246582031,1236.19657701326,2432.42271899024
185,Garage_71,Building_71,310.756866455078,5.20828914642334,130.306594848633,3327.8163007439,2581.90625347923
186,Garage_72,Building_72,302.953521728516,4.85625791549683,135.181945800781,3295.76539387057,2602.06618511186
245,building01_LOD0,Building_157,-20.1100006103516,8.39515113830566,74.7099990844727,1965.63478964601,2355.37050523243
246,building01_LOD1,Building_157,-20.1100006103516,8.39515113830566,74.7099990844727,1965.63478964601,2355.37050523243
247,building02_LOD0,Building_171,-157.220001220703,11.8727512359619,46.8800010681152,1399.47942679671,2241.41908593788
248,church,Church-TaskBuilding_16,280.184875488281,19.8706245422363,-90.9262313842773,3202.00862427376,1671.52532171205
